,title,company,place,industries,job_function,seniority_level,description
0,Data Analyst,KidsLoop Vietnam,"Ho Chi Minh City, Vietnam",,,,"[""Job Description     As we accumulate data from millions of young learners worldwide, we need to understand their learning journey and be able to share the right insight for parents, teachers, schools and school funding organisation.\xa0     You will be part of a global Analytics team supporting local scope and stakeholders. You will be supporting locally various business and product stakeholders by creating reports and dashboards that will be integrated in the KidsLoop platform and products and by providing actionable insights and recommendations to improve the learning process for KidsLoop users and customers in Vietnam. You will work closely with global data teams such as data engineering, data\xa0science and applied science to identify appropriate analytics solutions and provide input on local specifics. As a Data Analyst you will be one of the main contributors to Data Quality and Integrity best practices, supporting data investigation, research and data management, troubleshooting and investigating data anomalies and issues, working directly with the data engineers to follow through and get the issues fixed. You will also assist in building predictive systems to help understand learner behaviour and educator support.  This is a great opportunity for someone who is interested in joining a lean, innovative group with the possibility of tremendous career development in data engineering, data science & analytics and data asset management.  \xa0  Your Skills and Experience     Your Responsibilities  Data collection: identify the data needs and requirements based on business/ product problems; collect data from a variety of sources and define new collection techniques where needed; manage metadata Data management: assess data quality and support data integrity initiatives; handle confidential information responsibly; create mechanisms for exploring structured, semi-structured, and unstructured data Manage local business/ product/ education stakeholders to understand business problems and liaise with a global data\xa0teams to identify appropriate analytical solutions to address them Conduct detailed data analysis/modelling;\xa0identify patterns in data & generate actionable insights from the available information to support business or product decisions Examine trends to generate hypotheses and recommendations to respond to student, parent, teacher, school, organisation, or government needs and goals Design KPIs, diagnostic metrics and benchmarks, including setting effective targets to drive optimal outcomes Create reports and dashboards to share insights with company customers and partners     Required Qualifications  Bachelor’s degree in a field like information technology, computer science, statistics, or mathematics Minimum of 2 years working experience in technical data analysis, data science, or data warehousing with proven business / product analysis experience. Product Analytics experience is a plus Experience working with Big Data/ unstructured data. Strong SQL, experience with python for data analysis. Experience working with cloud data platforms (GCP, AWS, Azure) is a plus Strong analytical skills, translating business problems into analytical questions and creating analytical solutions to address them Strong ownership, stakeholder management and prioritisation skills. Experience working with distributed teams is a plus Strong visualisation skills (Power BI, Tableau, Looker, etc.) Excellent presentation, writing, and storytelling skills are a must Passionate about data and data-driven culture\xa0  \xa0  Why You'll Love Working Here  Competitive compensation with attractive performance incentives Fun energetic team; international & collaborative culture Social insurance, health insurance, unemployment insurance 5 working days per week Opportunities to grow professionally and play a critical role to shape the next stage of the company’s growth Experience the true spirit of a fast-growing and well funded UK EdTech Company.     Show more Show less""]"
1,Data Analyst (Customer Service),Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Internet Publishing,Information Technology,Entry level,"['Job Description  Responsible for day-to-day execution of data needs from CS departments Generate daily operational related data reports, analyze quantitative data, and investigate variances Involved in design, development, implementation, support and maintenance of reports, visualization tools, workflow automation and any other tools to facilitate business needs Ensure assigned tasks or projects are completed in a timely manner and with high level of quality and accuracy Provide regular feedback on data operation concerns and issues Participate and support ad hoc projects requiring additional analysis and data-heavy reporting Propose improvements to operational processes   Requirements  At least 1 year in any contact center, e-commerce experience is a plus Ability to use excel and SQL to extract, analyze data and prepare reports Goal better, data-driven, can-do attitude, open and supportive mindset Communication, presentation, negotiation and problem solving skills Ability to work independently and with a sense of urgency and fluctuation Show more Show less']"
2,Data Analyst,Ubisoft,Da Nang Metropolitan Area,Entertainment Providers,Production,Mid-Senior level,"[""Ubisoft Danang is seeking a highly talented, self-driven, detail-oriented Data Analyst who will help us turning data into information, getting insights and developing business decisions based on the analysis results. Your responsibilities will include conducting full lifecycle analysis to include requirements, activities and design and also monitor performance and quality control plans to identify improvements.    Responsibilities    Manage databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Design game tracking system for technical and game optimization purpose Collect required data, analyze results using statistical techniques and provide ongoing reports Retrieve information from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Collaborate with management to prioritize business and information needs Find and evaluate new process improvement opportunities Provide in-depth analytics and insights about our games with interactive Dashboards Develop new insights and analyses that inform decisions and help us continue to delight the people playing our games Coordinate and analyze the efficiency of game events and of some specific game features Create specific reports about new game content profitability using data from diverse sources   Qualifications   1-3 years of experience on a Data Engineer, Data Analyst or Business Data Analyst position Excellent SQL skills: extensive experience querying large, complex data sets A good knowledge of Tableau software A good knowledge in databases/BI Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Ability to execute research projects, and generate practical results and recommendations Good client management skills with a strong grasp of both technical and business perspectives Proven ability to work in a fast-paced environment, and to meet changing deadlines and priorities on multiple simultaneous projects  Nice to have:    R/Python is a plus Writing the program to extract information from Blockchain sources is a plus.   Additional Information    Why it's great to work at Ubisoft Danang:    An international, professional, collaborative, modern, and creative environment Attractive remuneration package Performance rewards Creative & endless fun projects Unlimited access to Ubisoft games on Uplay Flexible working time Premium healthcare insurance UBIVERSARY for your working milestones Team building, Lunar New year Celebration, Projects celebration Beers and treats every Friday\xa0(yay!) Staff clubs Free in-house entertainment facilities (PS4…), coffee, tea, and fresh fruits\xa0 Show more Show less""]"
3,Data Analyst,POC Pharma,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Pharmaceutical Manufacturing,Engineering,Mid-Senior level,"['About Us  POC Pharma is a startup that digitizes the pharmaceutical industry in emerging markets and helps pharmaceutical companies leverage data to grow their sales. Come join the coolest team and contribute to an exciting and fast-moving industry, using the best technologies!  Responsibilities  Validate and analyze data sets to ensure consistency and that internal requirements are met Verify ETL processes to complete data migrations from other software platforms into POC Pharma product Work with clients to generate data mapping documents, communicating & managing expectations with the client and business stakeholders Assist in technical direction for internal data models by coordinating with internal groups Facilitate resolution of production data migration issues Other projects and duties as required   Requirements  3+ years of experience in a Data Analyst role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. Experience with relational SQL databases, including MSSQL Experience developing Google Sheet and Excel formulas to automate data migration processes Strong focus on repeating automatable tasks Have knowledge of business process management best practices & business intelligence concepts Excellent written and verbal communication skills, interpersonal skills Ability to work under pressure both independently and within a team, in a fast-paced environment Strong problem-solving and analytical skills. Strong attention to detail. Prior experience handling multiple projects in an open environment. Experience supporting and working with cross-functional teams in a dynamic environment.   Benefits  Private Health Insurance Paid Time Off Training & Development Performance Bonus Show more Show less']"
4,Data Analyst,Talentnet Corporation,"Ho Chi Minh City, Vietnam",,,,"[""GRAB is looking for a Data Analyst (Finance segment) with the detail as below:     Working place: Mapletree tower, Nguyen Van Linh, Dist 7, HCMC  Working time: Monday – Friday, 9:00 – 18:00.     1. Main tasks:  Create, maintain and improve Financial Data Reporting capabilities for the local and regional Regulatory and Compliance reporting for multiple lines of GFG businesses. Gather business requirements and turn them into detailed technical requirements for Finance, Data engineering, Product and Engineering. Monitoring, Influence and Improve products' financial operational performance with BI Tools. Understand and communicate the financial and operational impacts of any changes in Business logic, launch or product across the necessary teams. Influence other functional areas of the business to achieve business objectives.     3. Requirements:  • Bachelor's Degree in Business Management/ Administration, Finance, Accounting or Computer Science or equivalent educational or professional experience.  - Solid experience with data analysis, data reporting and data presentation to suit the needs of business and use cases.  - 3 years' experience in working with SQL. (Must have)  - Proficient in establishing a working relationship with all levels of management & financial and product executives in the region.  - Excellent communication, interpersonal and presentation skills.  - Strong problem-solving skills with eyes for details.  - Familiar with ETL & reporting or any mainstream BI tools (Azure Data Factory , Power BI etc.) is a plus.     4. Benefits:  • Salary: up to 21.500.000VND gross/ month  • Contract: Signed with 3rd party - Talentnet  • Full social insurance package  • MNC working environment.  5. Contact point:  Send your English CV via email: cao.le.yen.nhi@talentnet.vn with title Position_ Full name.  Show more Show less""]"
5,Data Analyst,TPBank,"Hanoi, Hanoi, Vietnam",,,,"['Mục đích chức danh  Nhận diện các bài toán có tiềm năng ứng dụng phân tích dữ liệu, phân tích nâng cao tại các đơn vị nghiệp vụ trong ngân hàng, đề xuất phương pháp tiếp cận và giải quyết bài toán trong thực tế. Xây dựng chương trình và tổ chức đào tạo để nâng cao kỹ năng phân tích và hiểu biết về dữ liệu cho nhân sự phân tích dữ liệu tại các đơn vị nghiệp vụ trong Ngân hàng, đảm bảo năng lực chủ động giải quyết các bài toán nghiệp vụ của các đơn vị/ bộ phận dựa trên việc phân tích dữ liệu. Mô tả công việc  Tổng hợp và cập nhật danh sách các bài toán nghiệp vụ mà các đơn vị đã, đang và sắp triển khai hoặc có nhu cầu triển khai có tiềm năng ứng dụng phân tích dữ liệu/ phân tích nâng cao, tư vấn phương pháp tiếp cận phù hợp, phối hợp với các đơn vị đánh giá mức độ quan trọng và tính khả thi của từng bài toán nghiệp vụ cần triển khai. Phối hợp triển khai bài toán nghiệp vụ liên quan tới phân tích dữ liệu/ phân tích nâng cao tại các đơn vị; các tài liệu chuyên môn được văn bản hóa đầy đủ, đảm bảo khả năng tiếp nhận sản phẩm phân tích dữ liệu của các nhân sự liên quan. Xây dựng tài liệu, tổ chức các chương trình đào tạo về phân tích dữ liệu, phân tích nâng cao, và lên kế hoạch triển khai phù hợp với các mức độ hiểu biết khác nhau của các nhân sự tại các khối nghiệp vụ trong từng giai đoạn. Nắm vững các kiến thức chuyên môn được chuyển giao từ các đối tác tư vấn trong các dự án thuê tư vấn bên ngoài liên quan tới ứng dụng phân tích dữ liệu/ phân tích nâng cao, đảm bảo tính ứng dụng của các sản phẩm dự án tại Ngân hàng; Thường xuyên trau dồi kiến thức, tự đào tạo và cập nhật các phương thức và xu hướng phân tích dữ liệu tiên tiến trên thị trường. Yêu cầu  Có kinh nghiệm ít nhất 01 năm trong lĩnh vực phân tích dữ liệu; Có kiến thức nền tảng tốt về xác suất thống kê, các mô hình định lượng; Sử dụng thành thạo ít nhất một phần mềm phân tích dữ liệu, xây dựng mô hình như R, Python, SAS, MATLAB,...; Cẩn thận, tỉ mỉ, làm việc tốt dưới áp lực; Ưu tiên các ứng viên có kinh nghiệm tham gia triển khai các dự án liên quan tới phân tích dữ liệu/ phân tích nâng cao tại các ngân hàng thương mại; Sử dụng thành thạo ít nhất một công cụ BI và trực quan hóa dữ liệu là một lợi thế; Có kỹ năng, tư duy lập trình là một lợi thế; Kỹ năng ngôn ngữ và diễn đạt văn bản tốt; sử dụng thành thạo tiếng Việt và có khả năng giao tiếp bằng tiếng Anh. Show more Show less']"
6,Data Analyst,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Transportation, Logistics and Storage",Information Technology,Entry level,"['Ninja Van is a tech-enabled logistics company on a mission to provide hassle-free delivery services for businesses of all sizes across Southeast Asia. Launched in 2014, we started operations in Singapore and have become the region\'s largest and fastest growing last-mile logistics company, partnering with over 35,000 merchants and delivering more than 1,000 parcels every minute across six countries.  At our core, we are a technology company that is disrupting a massive industry with cutting-edge software and operational concepts. Powered by algorithm-based optimisation, dynamic routing, end-to-end tracking and a data-driven approach, we provide best-of-class delivery services that delight both the shippers and end customers. But we are just getting started! We have much room for improvement and many ideas that will further shape the industry.  The candidate is the person in charge for all intelligence/ fraud projects include Commercial & Operational according to C-level plan.  Responsibilities  Perform statistical modeling and analysis of structured and unstructured datasets to develop metrics, reports and visualizations of trends and patterns. Analyze data, draw insights, and present results in a cohesive, intuitive, and simplistic manner to executive management Identify and implement continuous improvement opportunities throughout the data life cycle Mine data, clean data to devise and optimize our algorithms, models’ accuracy Standardize reports, centralize analysis format to enrich our knowledge repositories Training end users on new reports and dashboards Communicate and align with stakeholders on purpose and impact of analytical solutions on business.  Requirements  Data analysis – the ability to assess data sets and identify patterns and opportunities for improvement is the primary skill Presentation skills – is also an important skill as analysis need to present, & make sense of their findings Communication skills – as have to rely heavily on both written and verbal communication to work with departments and personnel across teams and business lines  Working address: Ninja Van Vietnam Office, Tan Binh district, Ho Chi Minh city.  Salary And Benefits  Competitive income compared to the market ""Tet"" bonus , Performance review from 1 - 4 months Paid social insurance based on full salary 12 days annual leave, 5 days sick leave (with full salary) High-class AON Health Insurance for manager level. Year End Party, annual Townhall Ceremony Annual company trip Attractive team-building activities, regular internal activities Provide laptop for employees  Training And Developing  Participate in internal training courses: online/offline Opportunities to promote to higher positions  Work Environment & Colleagues  Senior leaders are open-minded, respectful and ready to facilitate personal growth Young and dynamic working environment Scope of work is large, the company has more than 6000 employees, the company has operations spreading to 63 provinces/cities throughout the country.  Submit a job application  By applying to the job, you acknowledge that you have read, understood and agreed to our Privacy Policy Notice (the “Notice”) and consent to the collection, use and/or disclosure of your personal data by Ninja Logistics Pte Ltd (the “Company”) for the purposes set out in the Notice. In the event that your job application or personal data was received from any third party pursuant to the purposes set out in the Notice, you warrant that such third party has been duly authorised by you to disclose your personal data to us for the purposes set out in the the Notice. Show more Show less']"
7,Junior Data Analyst,GeoGuard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",IT Services and IT Consulting,Information Technology,Associate,"[""At GeoComply, our mission is to empower the future of digital trust . We operate at the center of a new generation of cybersecurity companies, leveraging today's geolocation data to make better risk-based decisions. Working as a critical piece of the security infrastructure for some of the world’s largest tech companies like DraftKings, FanDuel, the BBC, and Akamai , we are the global market leader for compliance-grade geolocation data and a critical piece of the decision engine. We have big plans in the next few years, including a targeted US IPO and various M&A opportunities.  At the heart of it all is people - we are deeply committed to creating and sustaining a world-class experience for our employees, customers, and partners.  We are looking for a Junior Data Analyst to join our team in HCMC, Vietnam who will match our ambitions , and help us Better ourselves and achieve our goals.  The Junior Data Analyst contributes to GeoComply’s success by providing managers with intel regarding the suspicious cases based on information and data gathered through the back office of our systems. This position reports to DA Lead on a day-to-day basis.  What You Will Be Doing  Perform manual data analysis and visualization on live production data for detection of geolocation data anomalies and anti-fraud purposes Design and script reports based on technical and business requirements Monitor release, configuration, and database changes Contribute to the growth of the team by suggesting ideas and new practices to improve manual review methodologies Develop and maintain a thorough understanding of the company’s technologies, processes, and teams Understand the company’s vision, goals and strategy; actively contribute to the achievement of the goals and execution of the company’s strategy Present the findings and suggestions to the business team Peer review simple findings of other team members.  About You  At least internship experience in a relevant field Bachelor degree with good results in Data Science, Computer Science, Business Information Systems, Finance, Commerce, Economics, Statistics or similar majors Good command in Microsoft Excel Knowledge of and experience with databases (SQL etc), visualization tools (Power BI, Tableau, Kibana) is a plus Strong analytical and problem-solving skills Enjoy working with numerical data Ability to work in small collaborative teams in a dynamic working environment Good communication and interpersonal skills when working with the team Sound experience in performing both QA testing and data analytics; the ability to look beyond testing tasks and think ‘outside the box’ Comfortable with Android, iOS, macOS, and Windows is a plus Ability to analyze and interpret complex documents (software requirements and design specifications, standards, and regulations). Ability to work under tight timelines Intermediate written and spoken technical English, enough to discuss issues with teams remotely  Our IDEALS  Impact. At GeoComply your voice matters and your work and ideas have a direct impact on our business. Dynamic. We are a hyper growth company with a fast-paced work environment that propels your professional and personal growth. Exposure. We have a flat hierarchy so you work closely with our executives and contribute to projects across teams. Acceptance. We believe in equal opportunity for all and welcome your unique contribution. Learning. We provide extensive training to our people so that you can develop new skills and achieve your career goals. Support. We help each other so that you feel supported and free to do your best work.  Our Benefits  Competitive Salary : High salary and attractive bonus system (13th month, business performance, dividend and internal shares program) Learning & Development : We provide an annual budget equal to 1-months’ salary that can go towards professional or personal development or sport. Equity Plan : As employees of GeoComply, we’re all “owners”. Our unique equity and bonus plans give you the opportunity to share in our company’s success. Fast career path within the company. Premium healthcare insurance (Bao Viet/Liberty) 20 days annual leave Weekly English classes with native teacher Modern stand-alone office building in the center of Saigon. Free motorbike parking. We're always stocked up on snacks and coffee and have free lunches monthly Frequent social and team-building events  At GeoComply, we live our value of building it right. Our workplace is built on mutual respect and inclusion. We know that diversity of experience and thought has led to connection, innovation, and our company’s success. We welcome applicants of all backgrounds, experiences, beliefs, and identities.  Now What? Send us your resume and a cover letter. We Can’t Wait To Meet You. Show more Show less""]"
8,Data Analyst,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Transportation, Logistics and Storage",Information Technology,Entry level,"[""Ninja Van is a tech-enabled logistics company on a mission to provide hassle-free delivery services for businesses of all sizes across Southeast Asia. Launched in 2014, we started operations in Singapore and have become the region's largest and fastest growing last-mile logistics company, partnering with over 35,000 merchants and delivering more than 1,000 parcels every minute across six countries.  At our core, we are a technology company that is disrupting a massive industry with cutting-edge software and operational concepts. Powered by algorithm-based optimisation, dynamic routing, end-to-end tracking and a data-driven approach, we provide best-of-class delivery services that delight both the shippers and end customers. But we are just getting started! We have much room for improvement and many ideas that will further shape the industry.  Responsibilities  This role will participate in the regular check and analysis of abnormal behaviors/fraudulent activities through the trends in the existing reports and data. Work together with data engineers and other analysts to explore new opportunities for analytics and take actions to drive analytical projects to support other departments’ decision-making with data. Provide Compliance team database with related understandings and insights Design, update and optimize dashboards, tables, and others to give accurate insights and/or support operations Maintain and improve data integrity Plan and implement analytics projects  Requirements  Experience: 1-2 years working as a data analytics professional. Technical skills: SQL, Data Visualization such as Tableau, Python is a plus Familiarity with cloud data tools is a plus Experienced with Marketing analysis such as customer segmentation, google analytics, customer behaviors, correlation between campaign and sales. Bachelor degree in Computer Science, Information Systems Teamwork, project management, business communication, data processing, data visualization.  Submit a job application  By applying to the job, you acknowledge that you have read, understood and agreed to our Privacy Policy Notice (the “Notice”) and consent to the collection, use and/or disclosure of your personal data by Ninja Logistics Pte Ltd (the “Company”) for the purposes set out in the Notice. In the event that your job application or personal data was received from any third party pursuant to the purposes set out in the Notice, you warrant that such third party has been duly authorised by you to disclose your personal data to us for the purposes set out in the the Notice. Show more Show less""]"
9,Data Analyst,Infina,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Financial Services,Other,Mid-Senior level,"[""Infina is a rapidly growing startup in an exciting new industry. Because we are growing so quickly, our technical and business requirements are constantly changing. In this environment, data is an essential tool to inform and empower the rest of the organization to build the best product and scale quickly.  We’re looking for a Data Analyst to that can thrive in this environment and perform these responsibilities:  Maintain and create simple data pipelines in data warehouse Support adhoc requests and explain findings to non-technical teams independently Build, design, and update dashboards based on business feedback Communicate well with other teams  Requirements  Bachelors degree in any science or technical field 2+ years experience in a related field Advanced in using SQL (any form of SQL) to manipulate data and perform analysis Understand and manipulate data quickly  Why You'll Love Working Here  Working in an emerging industry - FinTech - with many opportunities to learn new, valuable knowledge and experience Talented team with years of venture-backed startup and big tech experience so you'll get the best of both worlds: moving fast and shipping and strong teammates Young and dynamic environments that challenging hard things in Fintech and all contributions lead to products that have impacts on real customers. Competitive compensation: Reasonable salary 13th month salary Year-end bonus 18 paid leave days per year Company-provided laptop Company trip, team building, internal events. Show more Show less""]"
