,title,company,place,industries,job_function,seniority_level,description
0,Software Engineer,Athena Studio,"Ho Chi Minh City, Vietnam",,,,"[""On Athena TechHub, we focus on developing & nurturing the best talents from diverse academic backgrounds and industry experiences to embrace innovation & frontier technology.  I. RESPONSIBILITIES:  Participate in technical specification design, technical roadmap, and implementation of the system Collaborate with other engineers via code reviews to level up yourself and others, to improve your ability to provide effective feedback, and to achieve higher quality code Design processes for managing the security of the core and related applications  II. MINIMUM QUALIFICATIONS:  Over 3 years of back-end development (C# /Java/ PHP/ Golang/ Python/ Nodejs). You write secure, efficient, high quality code and have a good understanding of CS fundamentals Experience with designing databases (NoSQL and SQL). Experience with event-driven architecture or microservices architecture. Experience with unit testing. You are a fast learner who can quickly master new technologies  Preferred Qualifications  You've worked on high quality products in the finance or security space Interest in fullstack development. Experience building Web Services, SQL, CSS, React, Redux You have an strong interest in decentralized finance You have experience building blockchain applications / smart contracts  III. WHY YOU’LL LOVE WORKING HERE  Great facility to work. You will have a MacBook and extra high definition screens Premium health insurance package and annual medical check-up Sponsorship for training courses Interesting activities: gym/fitness club at work, English club, corporate social responsibility events... With regular discussions, you will have a lot of opportunities to learn from experts in their fields Annual bonus and project bonus International opportunity to expose and grow At least one abroad travels every year. We often send our elites to international conferences like GDC, WWDC, Google I/O... to update the latest technology Full labor insurance (social, health, unemployed) Annual leave 12 days / sick leave 2 days / remote work 12 days Free food & drinks, kitchen at work, PlayStation after work Friday evening party, happy hour, team activities, and awesome parties…  IV. FURTHER INFORMATION  Working hour: from Monday to Friday (8:30 -18:00) Address: Olympus Building, 40A Lam Son, Ward 2, Tan Binh District, Ho Chi Minh city. Show more Show less""]"
1,Python Software Engineer Intern,"KMS Technology, Inc.","Ho Chi Minh City, Ho Chi Minh City, Vietnam",Software Development,Engineering,Internship,"[""Are you\xa0passionate about innovative software development and be eager to sharpen your expertise every day?    Do you want to be a part of the Great Team who create\xa0awesome billion-dollar Software Products for U.S clients?    Do you love to work in the top-notch IT\xa0Company in Vietnam with Good Investment into People Development?    If yes, we strongly believe that you will enjoy each single working day at KMS Technology.    The vacancy is an ideal job for the beginners who would like to have a good start for a great career. The winning candidates will have the opportunity to become a Software Engineer – one of the hottest skills in the industry trends. You will be trained and worked on complex systems using cutting-edge technology based frameworks. Besides, you will work with talented developers, following high standard software development practices and CI/CD\xa0processes    As an intern, you have a chance to learn & practice including but not limited to:    Participate in all software development activities Clarify requirements with client/team\xa0 Write high-quality code to implement software features or fix bugs and implement Unit Test Report the status to client/team\xa0   Qualifications   4th year or Fresh\xa0graduate students majoring in Computer Science/ Software Engineering/ related fields Work part-time (at least 3.5 days per week) or full-time Good IT background, critical and logical thinking skills Must be good and comfortable with speaking and writing using English Commitment to excellence and self-improvement A good team player with high responsibility, self-motivation, and independence, critical thinking, and problem-solving skills  Nice to have:    Passion in Web-development. Good knowledge of relational databases such as Microsoft SQL Server, MySQL, etc. Good knowledge of Django, Flask, Fast API   Additional Information    Perks You'll Enjoy\xa0    Working in one of the Best Places to Work in Vietnam Building large-scale & global software products Working & growing with Passionate & Talented Team Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions & Consulting Attractive Allowance\xa0and Benefits Flexible working time Various training on hot-trend technologies, best practices, and soft skills Big annual year-end party every year, team building, etc. Fitness & sport\xa0activities: football, tennis, table-tennis, badminton, yoga, swimming… Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,… Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…)  \xa0    And much more...Send\xa0your\xa0Resume including Academic Transcript\xa0\xa0to join us and let yourself explore other fantastic things!    Show more Show less""]"
2,Python Software Engineer,Aloha Consulting Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Nanotechnology Research,Engineering and Information Technology,Mid-Senior level,"['Our client is leading MNC hedge fund and quantitative investment management firm who is looking for top-notch talents to join their firm.  Take ownership of the development based on Python In charge of development and technical discussion In charge of unit tests on enhancements/new development under responsibility to ensure developed modules are matched with business requirements. Work effectively with other team members and customer’s development team Deliver tasks/projects according to schedule  Requirements  Python programming or hands-on industry experience with C++ Bachelor’s degree or higher from a top university in computer science, information technology, engineering, or any other related fields. 5+ years as developer in a systematic environment, possess core technical skills Familiarity with scripting languages and developing multithreading real-time applications on Linux/Unix platforms Working knowledge in various database and messaging technologies such as SQL, Redis, Kafka etc Experience with data analysis is a plus Excellent problem solving skills and out of the box thinking ability Excellent problem solving abilities and judgment with strong attention to detail Mature, thoughtful, with the ability to operate in a collaborative, team-oriented culture Proficiency in English, both written and verbal.  Benefits  Performance bonus: 2-4 months  Show more Show less']"
3,Python Developer,SETA International,"Hanoi, Hanoi, Vietnam",,,,"[""Job Title:\xa0 Python Developer  The job description:  - Join Company’s software development projects.\xa0  - Job description will be discussed during the interview for details.     Your Skills and Experience:  - Excellent in Python programing language  - Have experiences with Python's threading, multiprocessing and asyncio libraries  - Have experience working with distributed, micro-service system  - Familiar with at least one Python RESTful framework, e.g. FastAPI  - Familiar with Kafka, Redis and being able to work with them in Python is a strong advantage.  - Having knowledge or skills with any of following framework (Django, Flask, Pyramid, NodeJS)\xa0  - Ability to design and implement Web services APIs (REST API)  - Familiarity with Cloud AWS  - Good team and communication skills  - Basic English communication  - Willing to learn new technologies and tools     Benefits:  - \xa0Salary:(Negotiate) Attractive salary and quarterly bonus based on performance.  - Salary review 2 times/year  - Full benefits for employees according to the Vietnam Labor Laws: social and health insurance  - An international, professional, young but innovative, knowledge-shared environment works closely with international experts. Have the opportunity to join conferences and workshops on exciting new technologies.  - Holidays based on Vietnamese labor law + paid vacations  - Opportunity to onsite in the US  - Company trip, Team Building     \ufeffContact:  SETA international Viet Nam  Add: HL Tower, 82 Duy Tan, Ha Noi  Email:\xa0hr@setacinq.vn  Skype: Ms Ngoc: live:f68ef2ffd797236d, Ms Van Anh: live:.cid.3fdf1ba34b2d0edd  Fanpage: https://www.facebook.com/tuyendung.SETA.International/     Show more Show less""]"
4,Python Developer,"GoTECQ Vietnam, Ltd.","Da Nang City, Vietnam",,,,"[""Job Description  Should be able to understand new requirements and write requirements documents.\xa0 Design and implement the feature.\xa0 Go through existing code and fix issues reported.\xa0 Unit testing of the code written.\xa0  Your Skills and Experience  Good in Python programming in Linux OS environment Good in English Communication skills Be flexible and adaptive to adjust project focus based on changes of business priority dynamics The candidate should be self-driven, yet a strong team player  Why You'll Love Working Here  Insurance plan based on full salary + 13th salary + Performance Bonus (at least 30% each month) Medical Benefit (Personal). Internal Training (Technical & Functional). Working time: 8:00 AM - 5:30 PM from Mondays to Fridays.\xa0     Show more Show less""]"
5,"Software Engineer, Apprentice",Dwarves Foundation,Vietnam,,,,"['DWARVES FOUNDATION APPRENTICESHIP 2022     Dwarves Foundation is an innovative tech firm. We build and ship top notch software to resolve business problems through impactful tech solutions.     Dwarves Foundation Apprenticeship 2022\xa0is a\xa06-month fully paid work-study-train program\xa0designed primarily to provide mid-level and above software engineers with splendid software development practices, strong professional skills, and work ethics.     Opening to mid-level software engineers anywhere.     Program details: https://careers.d.foundation/apprenticeship-2022  Opening until\xa0Apr 25, 2022: https://form.typeform.com/to/LfCWfoml     Dwarves Apprenticeship 2022 is built for the young professionals who:  ▪️ Have at least 1 year of experience as a software engineer  ▪️ Look for full time & fully paid apprentice positions  ▪️ Seek for an environment to upgrade tech skills & make top-notch software  ▪️ Build up teamwork mindset & fine-tune soft skills  ▪️ Ready to figure out the next moves in their software career  Show more Show less']"
6,Senior Machine Learning Engineer,Axon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Software Development,Engineering,Mid-Senior level,"['Join Axon and be a Force for Good.  At Axon, we’re on a mission to Protect Life. We’re explorers, pursuing society’s most critical safety and justice issues with our ecosystem of devices and cloud software. Like our products, we work better together. We connect with candor and care, seeking out diverse perspectives from our customers, communities and each other.  Life at Axon is fast-paced, challenging and meaningful. Here, you’ll take ownership and drive real change. Constantly grow as you work hard for a mission that matters at a company where you matter.  We are an equal opportunity employer that promotes justice, advances equity, values diversity and fosters inclusion. We’re committed to hiring the best talent — regardless of race, creed, color, ancestry, religion, sex (including pregnancy), national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, genetic information, veteran status, or any other characteristic protected by applicable laws, regulations and ordinances — and empowering all of our employees so they can do their best work. If you have a disability or special need that requires assistance or accommodation during the application or the recruiting process, please email recruitingops@axon.com. Please note that this email address is for accommodation purposes only. Axon will not respond to inquiries for other purposes.  Your Impact  Are you passionate about AI? Do you love engineering solutions enabling fast, cutting-edge science? Are you eager to contribute to building products impacting the world for the greater good?  As a ML Engineer at Axon, you will contribute to architecting and implementing the platform used by Axon scientists to transform the public safety space. Collaborating closely with other engineers, you will enable new AI capabilities for Axon products (Fleet, Axon Body, Axon Air, and more) by supporting the training, evaluation, testing and deployment of machine learning models. As part of a multidisciplinary team, you will be exposed to a wide range of domains and applications: from Automatic License Plates Recognition to Object Tracking and Automatic Speech Recognition.  The ideal candidate will have a consistent track record of successfully leveraging and managing large-scale distributed platforms for secure and compliant data-processing. They will understand the AI lifecycle and be capable of supporting scientists along the creation and management of large scale compliant datasets, leading to better and more responsible AI solutions. They are willing to be bold and stand up to support the team in enabling features transforming the life of officers, and driving a positive impact in the public safety space.  What You’ll Do   Architect, develop and manage the infrastructure to ingest, curate and prepare large-scale datasets to train ASR, ALPR and OR models. Deliver novel, strategic solutions to increase our datasets size while limiting the budget impact. Deliver novel, strategic solutions to improve the diversity and fairness of Axon datasets and models. Collaborate with science and product teams to align platform investments with science and products needs and ensure the success of new AI-powered features. Impact the team by bringing their own expertise and deep knowledge of the state-of-the-art to introduce new techniques leading to tangible impact in terms of model fairness, performance, and platform scalability.   What You Bring   Bachelor’s Degree in Computer Science, Engineering, Physics, Mathematics or an equivalent highly technical field. 3-5+ years of software engineering experience and a proven track record of successfully architecting and maintaining large-scale distributed platforms. Experience managing sensitive data, implementing compliant and secure solutions for data-processing. Experience serving data for Business Intelligence services or machine learning. Proficiency in python, familiarity with ML frameworks such as TensorFlow, Keras, PyTorch. Advanced knowledge and hands-on experience with major cloud environments (such as AWS, Microsoft Azure and Google Cloud). Excellent problem solving skills and ability to dive into system architecture, design, performance metrics, code, test plans, project plans, deployments and operations Comfort communicating and interacting with scientists, engineers and ML/product managers.   Benefits That Benefit You   An awesome office/working environment with the latest technologies Competitive salary and benefits including a great medical insurance plan for you and your family Free lunch, gym, phone stipend, parking Fun team activities and outings Flexible working hours Opportunities for training and rotations in the US Opportunities to ride along with real US police officers in real life situations, see them use technology, and get inspired   NOTE: The above job description is not intended as, nor should it be construed as, exhaustive of all duties, responsibilities, skills, efforts, or working conditions associated with this job. The job description may change or be supplemented at any time in accordance with business needs and conditions.  Some roles may also require legal eligibility to work in a firearms environment. Show more Show less']"
7,Data Scientist - QuantumBlack - Ho Chi Minh City Based,"QuantumBlack, a McKinsey company","Ho Chi Minh City, Ho Chi Minh City, Vietnam","IT Services and IT Consulting, Information Services, and Software Development","Analyst, Consulting, and Information Technology",Mid-Senior level,"[""Qualifications  Bachelor's, MSc. or PhD level degree in computer science, machine learning, applied statistics, mathematics or engineering Ability to write clean, maintainable and robust code in Python Methodical yet creative problem solver Experience in applying data science and machine learning methods to real world problems Good presentation skills Excellent communication skills; ability to explain complex analytical concepts to people from other fields  What You'll Do  As a Data Scientist at QuantumBlack in Vietnam (Ho Chi Minh City based)...  You will work in multi-disciplinary environments harnessing data to provide real-world impact for organisations globally.  You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.  Your responsibility  You will partner with our clients, from data owners and users to C-level executives, to understand their needs and build impactful analytics solutions You will be flexible to travel to our clients’ offices to deliver presentations, gather information or share knowledge You will contribute to cross-functional problem-solving sessions with your team and deliver presentations to colleagues and client You will translate business problems into analytical problems and develop models aimed at solving our clients and users problems and ensure they are evaluated with the relevant metrics You will write highly optimized code to advance our internal Data Science Toolbox You will add real-world impact to your academic expertise, as you are encouraged to write papers and present at meetings and conferences should you wish You will take part in R&D projects (video R&D at QuantumBlack); attend conferences such as NIPS and ICML as well as data science retrospectives where you will have the opportunity to share and learn from your co-workers Work in one of the most advanced data science teams globally  What You'll Benefit From  Real-World Impact – No project is ever the same, we work with top-tier clients across multiple sectors, providing unique learning and development opportunities internationally. Fusing Tech & Leadership – We work with the latest technologies and methodologies and offer first class learning programmes at all levels. Multidisciplinary Teamwork - Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance. Innovative Work Culture – Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions. Striving for Diversity – With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life. Continuous development and progression – We offer an extensive choice of training sessions, ranging from workshops to international conference, tailored to your needs as well as a personal mentorship system. We have multiple career paths and geographic locations to evolve within the Firm. Global community – you'll learn from colleagues around the world by connecting both internally and externally through our various hosted meet-ups.  Who You'll Work With  As a data scientist at QuantumBlack in Ho Chi Minh City you can expect  Your colleagues  Work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects, using maths, stats and machine learning to derive structure and knowledge from raw data across various industry sectors.  Who You Are  You are a highly collaborative individual who is capable of laying aside your own agenda, listening to and learning from colleagues, challenging thoughtfully and prioritising impact. You search for ways to improve things and work collaboratively with colleagues. You believe in iterative change, experimenting with new approaches, learning and improving to move forward quickly.  Our Tech Stack  While we advocate for using the right tech for the right task, we often leverage the following technologies Python, PySpark, TensorFlow, PyTorch, SQL, Airflow, Databricks, our own OSS called Kedro (check out a Kedro tutorial video here), container technologies such as Docker and Kubernetes, cloud solutions such as AWS, GCP or Azure, and more! Show more Show less""]"
8,"Software Engineer, Apprentice",Dwarves Foundation,Vietnam,,,,"['DWARVES FOUNDATION APPRENTICESHIP 2022  Dwarves Foundation is an innovative tech firm. We build and ship top-notch software to resolve business problems through impactful tech solutions.     Dwarves Foundation Apprenticeship 2022\xa0is a\xa06-month fully paid work-study-train program\xa0designed primarily to provide mid-level and above software engineers with splendid software development practices, strong professional skills, and work ethics.     Opening to mid-level software engineers anywhere.     Program details: https://careers.d.foundation/apprenticeship-2022  Opening until\xa0Apr 25, 2022: https://form.typeform.com/to/LfCWfoml  Dwarves Apprenticeship 2022 is built for the young professionals who:  ▪️ Have at least 1 year of experience as a software engineer  ▪️ Look for full time & fully paid apprentice positions  ▪️ Seek an environment to upgrade tech skills & make top-notch software  ▪️ Build up teamwork mindset & fine-tune soft skills  ▪️ Ready to figure out the next moves in their software career  Show more Show less']"
9,Machine Learning Engineer,Cialfo,Vietnam,Software Development,Engineering and Information Technology,Entry level,"[""Cialfo is a leading platform connecting students, higher education institutions and counselors through technology driven solutions. Launched in 2017 with a mission to make education accessible to 100 million students, Cialfo provides a range of mobile and web solutions to students, K-12 institutions and higher education institutions. We’re one of the fastest-growing edtech startups in the region, consistently charting new heights!  Bridge the collaboration between distinct teams by bringing your holistic view and leadership to the table. You are instrumental in bringing our mission to life by being a tactical problem-solver, establishing ambitious pipelines to construct dynamic products and strategizing against competing forces.  Job Description  We are looking for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI models on recommendations and predictive analytics, which will help enhance the user experience and enable our business teams to make data-driven decisions  To ensure success as a machine learning engineer, you should demonstrate solid data science knowledge and experience in a related ML role. A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of our AI models and help us iterate and deploy the models faster and at scale. This role requires one to be hands-on and would involve some interactions with the product and engineering teams and occasionally with the business. We are expecting to scale 10x in the coming year and 100x by end of 2024 hence, this role requires one to be comfortable with the challenges that come with scaling.  Responsibilities  In the First Month, You Will  Talk to individual stakeholders and get an understanding of their pain points and interactions with the DS team Get an understanding of our infrastructure and roadmap Work with one of our ML engineers on a project to get an end to end understanding of our approach to model development     In the Next Three Months, You Will  Take ownership of one of our machine learning projects Create the end to end machine learning workflow for the project at hand, including the ingestion pipeline, feature engineering, model development, training, testing, serving, and monitoring Document the entire approach Collaborate with managers to determine and refine machine learning objectives.     In the Next one Year, You Will  Suggest improvements in our ML workflow Work on developing a framework for faster ML development Create an A/B testing platform Design a feature store to include online and offline features Use cutting edge models on NLP, RL to develop user recommendations Help us develop DS as a CoE   Requirements  Must Have  Bachelor's degree in computer science, data science, mathematics, or a related field. At least two years of experience as a machine learning engineer or data scientist At least 5 years of experience in python programming At least 5 years of experience in database and SQL Superb analytical and problem-solving abilities.   Should Have  Understanding of CI/CD pipeline (Jenkins, Gitlab, Github etc) Familiarity with Sklearn, Tensorflow, Keras, or Pytorch Understanding of data warehouse and data lake Great communication and collaboration skills.   Good To Have  Master’s degree in data analytics, recommender systems, or similar Understanding of AWS ecosystem (MWAA, Redshift, Athena, S3, Glue, etc) Exposure to spark/pyspark Excellent time management and organizational abilities.   LI-Remote  Benefits  Exact benefits vary depending on your location. That said, all full-time Cialfo employees receive the following benefits:  Paid Annual and Medical leaves Flexible working environment Medical Health Insurance and more... Show more Show less""]"
